file_name,line_number,problematic_search,recommendation
test_hqls/test12.hql,7,stddev_samp,"By default,aggregate functions were not in compliance with SQL:2011 standards and returns '0' when the function is applied to a set with a single element, after upgrade it returns null "
test_hqls/test12.hql,8,var_samp,"By default,aggregate functions were not in compliance with SQL:2011 standards and returns '0' when the function is applied to a set with a single element, after upgrade it returns null "
test_hqls/test12.hql,9,not null,"By default,You could enable/enforce a NOT NULL constraint on an external table, after upgrade enabling or enforcing a NOT NULL constraint on an external table causes an error. Workaround is removing the NOT NULL constraint in CREATE TABLE or ALTER TABLE statements."
test_hqls/test12.hql,10,add_months includes time,"By default, the add months query incorrectly omitted the time, after upgrade the query output includes the time"
test_hqls/test12.hql,11,add_months includes time,"By default, the add months query incorrectly omitted the time, after upgrade the query output includes the time"
test_hqls/test12.hql,11,add_months date validation,"By default ADD_MONTHS function would execute on invalid dates, after upgrade CDP performs validation of the date before executing the ADD_MONTHS function."
test_hqls/test12.hql,12,from_unixtime,"By default, The functions supported the system time zone , The functions now support the user session time zone "
test_hqls/test12.hql,13,current_timestamp,"CURRENT_TIMESTAMP returns the result in different output formats, after upgrade CDP CDP gives output format for CURRENT_TIMESTAMP YYYY-MM-DD HH:MM:SS.fff."
test_hqls/test12.hql,14,length,"By default,the LENGTH function supports double in addition to string, char, varchar or binary, after upfgrade LENGTH supports columns of data type string, char, varchar or binary. Double is not supported by length() in CDP, workaround is to cast the double value to char"
test_hqls/test12.hql,15,unix_timestamp for hours,"In CDH, you can use lowercase hh to represent hours of a timestamp in the format specification, after upgrade Hive in CDP requires uppercase HH"
test_hqls/test12.hql,15,unix_timestamp for microseconds,"In CDH you do not have to include microseconds in the format specification, after upgrade microseconds SSS are required in the format specification.For example, 'MM-dd-yyyy HH:mm:ss.SSS"
test_hqls/test12.hql,17,cast zeros as null,"By Default, casting of an invalid date returns a result. Please ensure cast is as desired."
test_hqls/test12.hql,17,casting invalid dates,"Casting of invalid date (zero value in one or more of the 3 fields of date, month, year) returns a NULL value, after upgrade Casting of an invalid date returns a result."
test_hqls/test12.hql,18,hive.txn.xlock.mergeinsert,"MERGE INSERT operation is treated as regular INSERT and acquires a SHARED_READ lock, which does not prevent other INSERT operations. By default the property is set to false in cdp."
test_hqls/test12.hql,19,order by,"By default,hive.default.nulls.last is false. In ascending (ASC) order, NULL appears first. In descending (DESC) order, NULL appears last, after upgrade hive.default.nulls.last is true. In ascending (ASC) order, NULL appears last. In descending (DESC) order, NULL appears first, workaround is set hive.default.nulls.last to false"
test_hqls/test12.hql,20,coalesce,"In CDH the NVL and COALESCE function were both used for the same purpose - to replace a NULL value with a non-NULL value. Both the functions were compiled separately, after upgrade the NVL function is compiled to COALESCE, which is reflected in the execution plan generated using the EXPLAIN command. The optimizations that are performed on the COALESCE function are also performed on the NVL calls."
test_hqls/test12.hql,21,cast unix_timestamp to string,"In CDH Casting a unix timestamp as a string without defining the proper date and time format works. In CDP it provides null. Wokraround is to provide full date,time format yyyy-MM-dd:HH:mm:ss"
test_hqls/test12.hql,22,trailing zeros of decimal constants,"Hive removes trailing zeros of decimal constants in some cases. Padding decimal values with trailing zeros is not consistent, after upgrade CDP provides the fix that pads constant decimal values with trailing zeros up to the specified scale"
test_hqls/test12.hql,23,date_add,"Some of the original date functions, such as TO_DATE, DATE_ADD, and DATE_SUB returned string values instead of date values. This was because the date return type was not available in Hive when these functions were introduced after upgrade the return type of to_date, date_add, and date_sub functions from string to date."
test_hqls/test12.hql,24,date_sub,"Some of the original date functions, such as TO_DATE, DATE_ADD, and DATE_SUB returned string values instead of date values. This was because the date return type was not available in Hive when these functions were introduced after upgrade the return type of to_date, date_add, and date_sub functions from string to date."
test_hqls/test12.hql,25,Julian dates,"In CDH Julian calendar (before Oct 15, 1582) dates are handled improperly by date/timestamp UDFs.In CDP, Hive uses a proleptic Gregorian calendar used in SQL standard to handle Julian dates"
test_hqls/test10.hql,4,hive.limit.query.max.table.partition,The parameter hive.limit.query.max.table.partition has been deprecated and must be removed from your code
test_hqls/test10.hql,7,time,"the word time cannot be used in queries in CDP, Change time. Enclose queries in backticks"
test_hqls/test10.hql,10,application,"the word application cannot be used in queries in CDP, Change applications. Enclose queries in backticks"
test_hqls/test10.hql,13,numeric,"the word numeric cannot be used in queries in CDP, Change numeric. Enclose queries in backticks"
test_hqls/test10.hql,16,sync,"the word sync cannot be used in queries in CDP, Change sync. Enclose queries in backticks"
test_hqls/test10.hql,20,hive.warehouse.subdir.inherit.perms,The parameter hive.warehouse.subdir.inherit.perms has been deprecated and must be removed from your code
test_hqls/test10.hql,26,hive.stats.fetch.partition.stats,The parameter hive.stats.fetch.partition.stats has been deprecated and must be removed from your code
test_hqls/test11.hql,3,cast timestamp,"By Default, casting a numeric type value into a timestamp produces a result that reflects the UTC instead of the time zone of the cluster.You can set hive.strict.timestamp.conversion to false for legacy behavior."
test_hqls/test11.hql,6,cast zeros as null,"By Default, casting of an invalid date returns a result. Please ensure cast is as desired."
test_hqls/test11.hql,6,casting invalid dates,"Casting of invalid date (zero value in one or more of the 3 fields of date, month, year) returns a NULL value, after upgrade Casting of an invalid date returns a result."
test_hqls/test11.hql,7,cast zeros as null,"By Default, casting of an invalid date returns a result. Please ensure cast is as desired."
test_hqls/test11.hql,7,casting invalid dates,"Casting of invalid date (zero value in one or more of the 3 fields of date, month, year) returns a NULL value, after upgrade Casting of an invalid date returns a result."
